Id;Value;Dimension 1;Dimension 2
0;1;0.5161;10.139
1;2016;1.1788;10.0769
2;2A;4.1998;9.5955
3;60MINUTES;8.8571;9.9404
4;ACTONCLIMATE;10.4995;10.9032
5;ADA;6.4733;9.1985
6;AIDSFREEGENERATION;9.2318;15.4268
7;AIPAC2016;7.0353;10.2184
8;ALCONVENTION2016;8.2758;14.0397
9;ALWAYSTRUMP;10.1416;10.7047
10;AMERICAFIRST;9.982;10.9653
11;AMERICAGREATAGAIN;9.2425;14.4789
12;AMERICANSAMOA;9.8048;11.5459
13;APAHM;6.8162;9.2506
14;ARIZONA;10.0141;8.9752
15;ARIZONAPRIMARY;9.7065;12.0124
16;ARMEDFORCESDAY;9.8151;12.2283
17;ARMYBDAY;8.5776;9.5533
18;ASLONGASITTAKES;8.7751;13.1613
19;AZ;4.2686;9.6154
20;AZPRIMARY;9.3114;9.4963
21;BENGHAZI;8.3762;9.6725
22;BIKERSFORTRUMP;9.7176;12.4218
23;BLACKMENFORBERNIE;8.7367;14.6278
24;BLACKSFORTRUMP;9.7677;12.5583
25;BLACKWOMENSEQUALPAY;8.5291;16.2382
26;BREXIT;8.447;9.2159
27;BREXITVOTE;8.8948;10.1861
28;BRUSSELS;7.93;9.732
29;BUILDTHEWALL;8.7496;11.4119
30;BUSH;5.621;9.4938
31;CA4TRUMP;9.9833;9.3945
32;CAMPAIGNFINANCE;8.397;13.206
33;CAPRIMARY;9.7756;9.3623
34;CARIBBEAN;9.5228;9.6725
35;CARRIER;9.3769;9.0422
36;CAUCUSFORTRUMP;9.4897;12.5509
37;CBNNEWS;7.7402;9.6278
38;CHANGEAGENTS;8.9302;11.1836
39;CHARLESTON9;10.4263;10.5806
40;CINCODEMAYO;10.2761;10.5285
41;CITIZENSUNITED;8.7103;12.4169
42;CLINTON;9.195;9.1489
43;CLINTONKAINE;9.6323;11.0744
44;CNN;5.1489;9.3995
45;COASTGUARDDAY;9.4063;11.6625
46;COLBERT;9.657;9.1861
47;COMMANDERINCHIEFFORUM;9.2036;17.6501
48;COMMONCORE;9.0782;10.1117
49;COMMONLAW;8.7975;9.9256
50;CREATORSASKHRC;9.1304;12.3747
51;CRIPTHEVOTE;9.5431;10.5658
52;CROOKEDHILLARY;9.5461;12.4169
